# time(ns)  Fourier    CSA-BTE   RTA-BTE
  0.253000     0.023541     0.163220     0.263392   
  0.253500     0.023364     0.161836     0.262336   
  0.254000     0.023190     0.160455     0.261282   
  0.254500     0.023016     0.159078     0.260231   
  0.255000     0.022844     0.157703     0.259183   
  0.255500     0.022674     0.156331     0.258137   
  0.256000     0.022505     0.154963     0.257094   
  0.256500     0.022338     0.153597     0.256054   
  0.257000     0.022171     0.152235     0.255016   
  0.257500     0.022007     0.150875     0.253981   
  0.258000     0.021844     0.149519     0.252948   
  0.258500     0.021682     0.148165     0.251918   
  0.259000     0.021521     0.146815     0.250890   
  0.259500     0.021362     0.145467     0.249866   
  0.260000     0.021205     0.144123     0.248843   
  0.260500     0.021048     0.142782     0.247824   
  0.261000     0.020893     0.141443     0.246806   
  0.261500     0.020739     0.140108     0.245792   
  0.262000     0.020587     0.138776     0.244780   
  0.262500     0.020436     0.137447     0.243771   
  0.263000     0.020286     0.136120     0.242764   
  0.263500     0.020137     0.134797     0.241760   
  0.264000     0.019990     0.133477     0.240758   
  0.264500     0.019844     0.132160     0.239759   
  0.265000     0.019699     0.130846     0.238762   
  0.265500     0.019555     0.129535     0.237768   
  0.266000     0.019412     0.128227     0.236777   
  0.266500     0.019271     0.126922     0.235788   
  0.267000     0.019131     0.125620     0.234802   
  0.267500     0.018992     0.124321     0.233818   
  0.268000     0.018854     0.123025     0.232836   
  0.268500     0.018717     0.121733     0.231858   
  0.269000     0.018582     0.120443     0.230881   
  0.269500     0.018447     0.119156     0.229908   
  0.270000     0.018314     0.117872     0.228936   
  0.270500     0.018181     0.116592     0.227968   
  0.271000     0.018050     0.115314     0.227001   
  0.271500     0.017920     0.114040     0.226038   
  0.272000     0.017791     0.112768     0.225076   
  0.272500     0.017663     0.111500     0.224117   
  0.273000     0.017536     0.110234     0.223161   
  0.273500     0.017410     0.108972     0.222207   
  0.274000     0.017285     0.107712     0.221256   
  0.274500     0.017161     0.106456     0.220307   
  0.275000     0.017038     0.105203     0.219361   
  0.275500     0.016916     0.103952     0.218417   
  0.276000     0.016796     0.102705     0.217475   
  0.276500     0.016676     0.101461     0.216536   
  0.277000     0.016557     0.100220     0.215600   
  0.277500     0.016439     0.098982     0.214665   
  0.278000     0.016322     0.097747     0.213734   
  0.278500     0.016205     0.096514     0.212804   
  0.279000     0.016090     0.095285     0.211878   
  0.279500     0.015976     0.094059     0.210953   
  0.280000     0.015863     0.092837     0.210031   
  0.280500     0.015750     0.091617     0.209111   
  0.281000     0.015639     0.090400     0.208194   
  0.281500     0.015528     0.089186     0.207280   
  0.282000     0.015418     0.087975     0.206367   
  0.282500     0.015310     0.086767     0.205457   
  0.283000     0.015202     0.085563     0.204550   
  0.283500     0.015095     0.084361     0.203644   
  0.284000     0.014988     0.083162     0.202741   
  0.284500     0.014883     0.081967     0.201841   
  0.285000     0.014778     0.080774     0.200943   
  0.285500     0.014674     0.079584     0.200047   
  0.286000     0.014571     0.078398     0.199154   
  0.286500     0.014469     0.077214     0.198263   
  0.287000     0.014368     0.076034     0.197374   
  0.287500     0.014267     0.074856     0.196488   
  0.288000     0.014167     0.073682     0.195604   
  0.288500     0.014068     0.072511     0.194723   
  0.289000     0.013970     0.071342     0.193843   
  0.289500     0.013872     0.070177     0.192966   
  0.290000     0.013776     0.069015     0.192092   
  0.290500     0.013679     0.067855     0.191219   
  0.291000     0.013584     0.066699     0.190350   
  0.291500     0.013489     0.065546     0.189482   
  0.292000     0.013395     0.064396     0.188617   
  0.292500     0.013302     0.063248     0.187754   
  0.293000     0.013209     0.062104     0.186893   
  0.293500     0.013117     0.060963     0.186034   
  0.294000     0.013026     0.059825     0.185178   
  0.294500     0.012936     0.058690     0.184325   
  0.295000     0.012845     0.057558     0.183473   
  0.295500     0.012756     0.056429     0.182624   
  0.296000     0.012667     0.055303     0.181777   
  0.296500     0.012579     0.054180     0.180932   
  0.297000     0.012492     0.053060     0.180090   
  0.297500     0.012405     0.051943     0.179249   
  0.298000     0.012318     0.050829     0.178411   
  0.298500     0.012232     0.049718     0.177576   
  0.299000     0.012147     0.048610     0.176742   
  0.299500     0.012062     0.047505     0.175911   
  0.300000     0.011978     0.046403     0.175082   
  0.300500     0.011894     0.045305     0.174256   
  0.301000     0.011811     0.044209     0.173431   
  0.301500     0.011728     0.043116     0.172609   
  0.302000     0.011646     0.042026     0.171789   
  0.302500     0.011564     0.040939     0.170971   
  0.303000     0.011483     0.039855     0.170155   
  0.303500     0.011403     0.038775     0.169342   
  0.304000     0.011322     0.037697     0.168531   
  0.304500     0.011243     0.036622     0.167722   
  0.305000     0.011163     0.035550     0.166915   
  0.305500     0.011085     0.034482     0.166111   
  0.306000     0.011006     0.033416     0.165308   
  0.306500     0.010928     0.032353     0.164508   
  0.307000     0.010851     0.031293     0.163710   
  0.307500     0.010774     0.030237     0.162914   
  0.308000     0.010697     0.029183     0.162120   
  0.308500     0.010621     0.028132     0.161329   
  0.309000     0.010546     0.027084     0.160540   
  0.309500     0.010470     0.026040     0.159753   
  0.310000     0.010395     0.024998     0.158968   
  0.310500     0.010321     0.023959     0.158185   
  0.311000     0.010247     0.022924     0.157404   
  0.311500     0.010173     0.021891     0.156625   
  0.312000     0.010100     0.020861     0.155849   
  0.312500     0.010027     0.019834     0.155075   
  0.313000     0.009954     0.018811     0.154303   
  0.313500     0.009882     0.017790     0.153533   
  0.314000     0.009811     0.016772     0.152765   
